name,romsZip,address,romsDtlAddr,romsRefadNo,romsScl,romsHmpgAddr,romsSumm
풀하우스,34930,대전 중구 문창로 86,대전 중구 문창동 42-6,042-253-0082,"30실[ 한실:1 , 양실:29]",https://fullhousehotel.modoo.at/,풀하우스
투유모텔,34830,대전 중구 대종로584번길 27,대전 중구 선화동 90-19,042-256-6773,24실[ 양실:24],투유모텔의 홈페이지는 별도로 찾을 수 없습니다.,투유모텔
대전호텔박스,34928,대전 중구 대종로432번길 28, 대전 중구 대흥동 34,042-221-6544,28실[ 양실:28],대전호텔박스의 홈페이지는 별도로 찾을 수 없습니다.,대전호텔박스
포유,34976,대전 중구 유천로33번길 92,대전 중구 유천동 299-42,042-585-7799,30실[ 양실:30],포유의 홈페이지는 별도로 찾을 수 없습니다.,포유
스타호텔,34928,대전 중구 대흥로158번길 46,대전 중구 대흥동 37-11,042-242-2050,34실[ 양실:34],스타호텔의 홈페이지는 별도로 찾을 수 없습니다.,스타호텔
호텔루이스,34930,대전 중구 대종로386번길 53,대전 중구 문창동 44-4,042-223-0550,"35실[ 한실:2 , 양실:33]",호텔루이스의 홈페이지는 별도로 찾을 수 없습니다.,호텔루이스
베스트인시티호텔,34933,대전 중구 대종로386번길 7,대전 유성구 봉명동 441-3,042-221-4897,"35실[ 한실:2 , 양실:33]",베스트인시티호텔의 홈페이지는 별도로 찾을 수 없습니다.,베스트인시티호텔
이티모텔,34977,대전 중구 유천로17번안길 52,대전 중구 유천동 330-17,042-581-1696,29실[ 양실:29],이티모텔의 홈페이지는 별도로 찾을 수 없습니다.,이티모텔
자우리호텔 은행점,34917,대전 중구 대흥로111번길 35,대전 중구 대흥동 452-30,042-223-7722,34실[ 양실:34],자우리호텔 은행점의 홈페이지는 별도로 찾을 수 없습니다.,자우리호텔 은행점
호텔일루와,34978,대전 중구 대둔산로 500,대전 중구 유천동 335-75,042-587-1255,"34실[ 한실:1 , 양실:33]",호텔일루와의 홈페이지는 별도로 찾을 수 없습니다.,호텔일루와
나인스팟호텔,34838,대전 중구 중앙로129번길 28, 대전 중구 선화동 32-2,042-254-0952,40실[ 양실:40],나인스팟호텔의 홈페이지는 별도로 찾을 수 없습니다.,나인스팟호텔
네오텔,34930,대전 중구 문창로98번길 8,대전 중구 문창동 36-2,042-251-8072,30실[ 양실:30],네오텔의 홈페이지는 별도로 찾을 수 없습니다.,네오텔
티티카카,34976,대전 중구 계백로1550번길 45-9,대전 중구 유천동 300-11,042-586-7741,32실[ 양실:32],https://blog.naver.com/mtiticaca,티티카카
호텔7,34930,대전 중구 문창로90번길 8,대전 중구 문창동 43-1,042-242-4101,14실[ 양실:14],호텔7의 홈페이지는 별도로 찾을 수 없습니다.,호텔7
투데이,35206,대전 유성구 온천로 65,대전 서구 둔산동 1046,042-222-1001,26실[ 양실:26],투데이의 홈페이지는 별도로 찾을 수 없습니다.,투데이
대전하늘정원,34918,대전 중구 보문로230번길 40,대전 중구 대흥동 447-11,042-255-0043,"24실[ 한실:10 , 양실:14]",https://djskygarden.modoo.at/,대전하늘정원
크리스탈레지던스호텔,34927,대전 중구 대종로452번길 38,대전 중구 대흥동 92-1,042-255-2933,48실[ 양실:48],http://www.crystalht.co.kr/,크리스탈레지던스호텔
유성 유스호스텔,34159,대전 유성구 학하중앙로 68,대전 유성구 덕명동 475-5,042-822-9591,29실[ 한실:29 ],http://www.youthostel.or.kr,유성 유스호스텔
대전청소년수련마을,35086,대전 중구 방아미로 131,대전 중구 침산동 산 21,042-285-0350~2,58실[ 한실:58 ],http://www.djyouth.co.kr,대전청소년수련마을
호텔 오노마,34126,대전 유성구 엑스포로 1,호텔 오노마,042-259-8007,13개 스위트룸을 포함한 171개 객실 / 4회의실 (총 648평방미터),https://www.marriott.com/ko/hotels/cjjak-hotel-onoma-daejeon-autograph-collection/overview/,대전의 랜드마크 호텔
