name,tourspotZip,address,tourspotDtlAddr,refadNo,mngTime,tourUtlzAmt,pkgFclt,cnvenFcltGuid,urlAddr,tourspotSumm,mapLat,mapLot
찬샘마을,34500,대전 동구 냉천로 703,,042-274-3399,08:00 ~ 22:00,체험에 따라 다르므로 홈페이지 참조,60대- 무료,,http://www.chansaem.com,,36.41789,127.479744
식장산,34501,대전 동구 세천동 358,,042-274-1877,00:00 ~ 24:00 / 연중무휴,,무료,,,식장산,36.3250354,127.4907834
장동산림욕장,34345,대전 대덕구 산디로 79-70,,042-623-9909,00:00 ~ 24:00,,25대 - 무료,화장실/ 운동기구/ 물놀이장/ 음수대,http://www.daedeok.go.kr/ect/ECT.do,장동산림욕장,36.3960421,127.4403202
계족산,34345,대전 대덕구 산디로 79-70,,042-623-9909,,,,,,계족산,36.40553,127.44251
 대청호 두메마을,34316,대전 대덕구 대청호수로1326번길 97,,042-272-5802,08:00 ~ 19:00,,20대 - 무료,대청호두메마을 민박,http://www.들꽃내.com/, 대청호 두메마을,36.4131399,127.4656742
수통골 유원지,0,대전 유성구 계산동 667-1,,042-825-3006,연중무휴,,,,,수통골 유원지,36.3347451,127.2989027
만인산,0,동구 하소동,,042-280-5523,,,,,,만인산,36.2154608,127.4386094
테미공원,34951,대전 중구 보문로199번길 37-36,,042-606-7753,,,,,,테미공원,36.3203176,127.4208258
대전보훈공원,35056,대전 중구 보훈로 46,,042-270-2450,09:00 ~ 24:00 / 연중무휴,,무료,,,대전보훈공원,36.2986838,127.398171
유림공원,34139,대전 유성구 어은로 27,,042-611-2469,09:00 ~ 24:00 / 연중무휴,,,,,유림공원,36.3629506,127.3568283
대덕사이언스길,34126,대전 유성구 대덕대로 480,,042-270-5583,09:00 ~ 24:00 / 연중무휴,,,,https://www.daejeon.go.kr/tou/TouContentsHtmlView.do?menuSeq=4912,대덕사이언스길,36.3768953,127.3816388
대청호 자연생태관,34500,대전 동구 천개동로 41,,,"09:00 ~ 18:00 / 휴무일 : 명절, 매년 1월 1일, 매주 월요일",,"생태관 내 : 15대(장애인 1대, 일반 14대) 생태관 외 : 15대","엘리베이터 1대, 유모차 2대, 자동우산포장기 1대, 기저귀교환대 1대",http://nature.donggu.go.kr,대청호 자연생태관,36.3957488,127.4660072
국가핵융합연구소(NFRI),34133,대전 유성구 과학로 169-148,,042-879-5088,,,,,http://www.nfri.re.kr,국가핵융합연구소(NFRI),36.3726913,127.3533335
한국화학연구원(KRICT),34133,대전 유성구 과학로 169-148,,042-860-7114,,,,,http://www.krict.re.kr,한국화학연구원(KRICT),36.3726913,127.3533335
한국에너지기술연구원(KIER),34129,대전 유성구 가정로 152,,042-860-3114,,,,,http://www.kier.re.kr/,한국에너지기술연구원(KIER),36.3827379,127.3582843
한국생명공학연구원(KRIBB),34141,대전 유성구 과학로 125,,042-860-4114,,,,,http://www.kribb.re.kr,한국생명공학연구원(KRIBB),36.3785383,127.357597
특허청 발명교육센터(창의발명체험관),34132,대전 유성구 과학로 82,,042-601-4458,"09:00 ~ 18:00 / 휴무일 : 공휴일, 명절, 매주 월요일",,,,http://iec.kipo.go.kr/,특허청 발명교육센터(창의발명체험관),36.3772412,127.3643098
한국원자력연구원(KAERI),34057,대전 유성구 대덕대로989번길 111,,042-868-2000,,,,,http://www.kaeri.re.kr/,한국원자력연구원(KAERI),36.4189059,127.3766139
한밭도서관,35020,대전 중구 서문로 10,,042-580-4114,"09:00 ~ 22:00 / 휴무일 : 명절, 매주 월요일, 매년 1월 1일",,117대 무료주차,"휴게실,식당,매점,의무실",http://hanbat.metro.daejeon.kr,한밭도서관,36.3089558,127.408087
캠프향기 캠핑장,34712,대전 동구 산내로 710,(상소동),0507-1418-6830,,,,"글램핑장 9개소\n낭만 카라반 6개소\n공동시설 - 중앙운동장, 수영장, 독립카바나, 반려견시설, 공동주방, 공동샤워시설, 화장실",http://www.camparoma.co.kr/kwa-home,캠프향기 캠핑장,36.236183,127.46614
꿈꾸는 농부 오토캠핑장,34712,대전 동구 산내로 716,(상소동),0507-1352-1340,,,,"샤워실, 화장실, 조리실, 세탁실, 들마루",http://xn--vv0b5a86hb4aqz8ahhm9qcp2uqrgbkk.com/,꿈꾸는 농부 오토캠핑장,36.23583,127.46712
하기숲 캠핑장,0,대전광역시 유성구 하기동 259,(하기동),0507-1470-5504,입실 14시 / 퇴실 12시,"성수기 (주말,평일) 20,000원 / 비수기 (주말) 20,000원, (평일) 15,000원",,"관리사무소, 화장실, 바비큐장, 어울림 광장, 야외무대, 생태연못, 편백숲, 산책로, 파고라 등",https://www.hgscamp.kr:454/index.asp,하기숲 캠핑장,36.3904255,127.3330029
대전곤충생태관,35204,대전 서구 둔산대로 191,대전곤충생태관,042-270-5274,오전 10:00 ~ 오후 05:00 ,무료,한밭수목원 내 주차가능(3시간 무료),엘리베이터 1대,,대전곤충생태관,36.36695,127.389656
